# src   dst   bw(Mbps)
# 水平連線 Row 1
1       2     250
2       3     250
3       4     250
4       5     250
5       6     250
6       7     250
# 水平連線 Row 2
8       9     250
9       10    250
10      11    250
11      12    250
12      13    250
13      14    250
# 水平連線 Row 3
15      16    250
16      17    250
17      18    250
18      19    250
19      20    250
20      21    250
# 水平連線 Row 4
22      23    250
23      24    250
24      25    250
25      26    250
26      27    250
27      28    250
# 水平連線 Row 5
29      30    250
30      31    250
31      32    250
32      33    250
33      34    250
34      35    250
# 水平連線 Row 6
36      37    250
37      38    250
38      39    250
39      40    250
40      41    250
41      42    250
# 水平連線 Row 7
43      44    250
44      45    250
45      46    250
46      47    250
47      48    250
48      49    250
# 垂直連線 Col 1
1       8     250
8       15    250
15      22    250
22      29    250
29      36    250
36      43    250
# 垂直連線 Col 2
2       9     250
9       16    250
16      23    250
23      30    250
30      37    250
37      44    250
# 垂直連線 Col 3
3       10    250
10      17    250
17      24    250
24      31    250
31      38    250
38      45    250
# 垂直連線 Col 4
4       11    250
11      18    250
18      25    250
25      32    250
32      39    250
39      46    250
# 垂直連線 Col 5
5       12    250
12      19    250
19      26    250
26      33    250
33      40    250
40      47    250
# 垂直連線 Col 6
6       13    250
13      20    250
20      27    250
27      34    250
34      41    250
41      48    250
# 垂直連線 Col 7
7       14    250
14      21    250
21      28    250
28      35    250
35      42    250
42      49    250
