# src   dst   energy(W)
# 水平連線 Row 1
1       2     0.18
2       3     0.18
3       4     0.18
4       5     0.18
5       6     0.18
# 水平連線 Row 2
7       8     0.18
8       9     0.18
9       10    0.18
10      11    0.18
11      12    0.18
# 水平連線 Row 3
13      14    0.18
14      15    0.18
15      16    0.18
16      17    0.18
17      18    0.18
# 水平連線 Row 4
19      20    0.18
20      21    0.18
21      22    0.18
22      23    0.18
23      24    0.18
# 水平連線 Row 5
25      26    0.18
26      27    0.18
27      28    0.18
28      29    0.18
29      30    0.18
# 水平連線 Row 6
31      32    0.18
32      33    0.18
33      34    0.18
34      35    0.18
35      36    0.18
# 垂直連線 Col 1
1       7     0.18
7       13    0.18
13      19    0.18
19      25    0.18
25      31    0.18
# 垂直連線 Col 2
2       8     0.18
8       14    0.18
14      20    0.18
20      26    0.18
26      32    0.18
# 垂直連線 Col 3
3       9     0.18
9       15    0.18
15      21    0.18
21      27    0.18
27      33    0.18
# 垂直連線 Col 4
4       10    0.18
10      16    0.18
16      22    0.18
22      28    0.18
28      34    0.18
# 垂直連線 Col 5
5       11    0.18
11      17    0.18
17      23    0.18
23      29    0.18
29      35    0.18
# 垂直連線 Col 6
6       12    0.18
12      18    0.18
18      24    0.18
24      30    0.18
30      36    0.18
