# src   dst   energy(W)
# 水平連線 Row 1
1       2     0.18
2       3     0.18
3       4     0.18
# 水平連線 Row 2
5       6     0.18
6       7     0.18
7       8     0.18
# 水平連線 Row 3
9       10    0.18
10      11    0.18
11      12    0.18
# 水平連線 Row 4
13      14    0.18
14      15    0.18
15      16    0.18
# 垂直連線 Col 1
1       5     0.18
5       9     0.18
9       13    0.18
# 垂直連線 Col 2
2       6     0.18
6       10    0.18
10      14    0.18
# 垂直連線 Col 3
3       7     0.18
7       11    0.18
11      15    0.18
# 垂直連線 Col 4
4       8     0.18
8       12    0.18
12      16    0.18
